route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type2_id,valid_from,valid_until
A,2,"A","","KOSZAROWA (SZPITAL) - Koszarowa - Berenta - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Podwale - Świdnicka - Krucza - Inżynierska - Hallera - Grabiszyńska - Solskiego - Aleja Piastów - Racławicka - RACŁAWICKA|RACŁAWICKA - Aleja Piastów - Solskiego - Grabiszyńska - Hallera - Aleja Pracy - Inżynierska - Krucza - Wielka - Świdnicka - Kościuszki - Krasińskiego - pl. Powstańców Warszawy - Wyszyńskiego - Boya-Żeleńskiego - Berenta - Kasprowicza - Czajkowskiego - Koszarowa - KOSZAROWA (SZPITAL)|RACŁAWICKA - Racławicka - Aleja Piastów - Solskiego - Grabiszyńska - Hallera - Aleja Pracy - Inżynierska - Krucza - Wielka - Świdnicka - Kościuszki - Krasińskiego - pl. Powstańców Warszawy - Wyszyńskiego - Boya-Żeleńskiego - Berenta - Kasprowicza - Czajkowskiego - Koszarowa - KOSZAROWA (SZPITAL)",3,35,"2021-06-26","2999-01-01"
C,2,"C ","","KOZANÓW - Kozanowska - Wejherowska - Popowicka - Długa - mosty Mieszczańskie - Dubois - Sienkiewicza - Szczytnicka - pl. Grunwaldzki - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Wyszyńskiego - Drobnera - Dubois - Dmowskiego - Długa - Popowicka - Kozanowska - KOZANÓW",3,35,"2021-06-26","2999-01-01"
D,2,"D","","OSIEDLE SOBIESKIEGO - Królewska - Bora-Komorowskiego - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - Oławska - Piotra Skargi - Podwale - Świdnicka - Powstańców Śl. - Krzycka - Wałbrzyska - Karmelkowa - Giełdowa - GIEŁDOWA (CENTRUM HURTU)|GIEŁDOWA (CENTRUM HURTU) - Karmelkowa - Wałbrzyska - Krzycka - Powstańców Śl. - Świdnicka - Oławska - pl. Powstańców Warszawy - pl. Grunwaldzki - Kochanowskiego - Brücknera - Krzywoustego - Bora-Komorowskiego - Królewska - OSIEDLE SOBIESKIEGO",3,35,"2021-06-26","2999-01-01"
K,2,"K","","GAJ - PĘTLA - Świeradowska - Borowska - Peronowa - Kazimierza Wlk. - Pomorska - Reymonta - Osobowicka - Łużycka - Bezpieczna - Obornicka - Broniewskiego - Żmigrodzka - Kamieńskiego - KAMIEŃSKIEGO (PĘTLA)|KAMIEŃSKIEGO (PĘTLA) - Żmigrodzka - Broniewskiego - Obornicka - Bezpieczna - Łużycka - Osobowicka - Reymonta - Pomorska - Drobnera - Nowy Świat - Kazimierza Wlk. - Piotra Skargi - Peronowa - Ślężna - Borowska - Świeradowska - GAJ - PĘTLA",3,35,"2021-06-26","2999-01-01"
N,2,"N","","LITEWSKA - Litewska - Żmudzka - Kiełczowska - Krzywoustego - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Piotra Skargi - Peronowa - Ślężna - Petrusewicza - PETRUSEWICZA|PETRUSEWICZA - Borowska - Peronowa - Oławska - pl. Powstańców Warszawy - Wyszyńskiego - Krzywoustego - Kiełczowska - Żmudzka - Litewska - LITEWSKA",3,35,"2021-06-26","2999-01-01"
1,3,"1","","POŚWIĘTNE - Żmigrodzka - Trzebnicka - pl. Powstańców Wielkopolskich - Słowiańska - Jedności Narodowej - Nowowiejska - Piastowska - Curie-Skłodowskiej - Wróblewskiego - Olszewskiego - BISKUPIN|BISKUPIN - Wróblewskiego - Curie-Skłodowskiej - Piastowska - Nowowiejska - Jedności Narodowej - Słowiańska - pl. Powstańców Wielkopolskich - Trzebnicka - Żmigrodzka - POŚWIĘTNE",0,31,"2021-07-17","2999-01-01"
2,3,"2","","KLECINA - Wałbrzyska - Przyjaźni - Karkonoska - Powstańców Śl. - Aleja Hallera - Grabiszyńska - Piłsudskiego - Kołłątaja - Oławska - pl. Powstańców Warszawy - Wyszyńskiego - Szczytnicka - Rondo Reagana - Curie-Skłodowskiej - Wróblewskiego - Olszewskiego - BISKUPIN|BISKUPIN - Wróblewskiego - Curie-Skłodowskiej - Rondo Reagana - Curie-Skłodowskiej - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Skargi - Kołłątaja - Piłsudskiego - Grabiszyńska - Aleja Hallera - Powstańców Śl. - Karkonoska - Przyjaźni - Wałbrzyska - KLECINA",0,31,"2021-07-17","2999-01-01"
3,3,"3","","LEŚNICA - Średzka - Kosmonautów - Lotnicza - Legnicka - Złotoryjska - TAT - Podwale - pl. Teatralny - Teatralna - Oławska - Traugutta - Krakowska - Opolska - KSIĘŻE MAŁE|KSIĘŻE MAŁE - Krakowska - Traugutta - Oławska - Teatralna - pl. Teatralny - Podwale - TAT - Śrubowa - Złotoryjska - Legnicka - Lotnicza - Kosmonautów - Średzka - LEŚNICA",0,31,"2021-07-17","2999-01-01"
4,3,"4","","BISKUPIN - Olszewskiego - Wróblewskiego - Curie-Skłodowskiej - Rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Traugutta - Pułaskiego - Małachowskiego - Piłsudskiego - Grabiszyńska - OPORÓW|OPORÓW - Piłsudskiego - Małachowskiego - Pułaskiego - Traugutta - pl. Powstańców Warszawy - pl. Grunwaldzki - Rondo Reagana - Curie-Skłodowskiej - Wróblewskiego - Olszewskiego - BISKUPIN",0,31,"2021-07-17","2999-01-01"
5,3,"5","","KSIĘŻE MAŁE - Opolska - Krakowska - Traugutta - Oławska - Skargi - Kołłątaja - Piłsudskiego - Grabiszyńska - OPORÓW|OPORÓW - Piłsudskiego - Kołłątaja - Oławska - Traugutta - Krakowska - Opolska - KSIĘŻE MAŁE",0,31,"2021-07-17","2999-01-01"
6,3,"6","","OPERA - pl. Teatralny - Widok - Szewska - Drobnera - Bema - Poniatowskiego - Jedności Narodowej - Toruńska - Kwidzyńska - KOWALE|KOWALE - Toruńska - Jedności Narodowej - Poniatowskiego - Drobnera - Grodzka - Kazimierza Wlk. - Krupnicza - Podwale - pl. Teatralny - OPERA",0,31,"2021-07-17","2999-01-01"
7,3,"7","","OPERA - Widok - Szewska - Drobnera - Chrobrego - pl. Powstańców Wielkopolskich - Trzebnicka - Żmigrodzka - POŚWIĘTNE|POŚWIĘTNE - Trzebnicka - pl. Powstańców Wielkopolskich - Chrobrego - Drobnera - Grodzka - Kazimierza Wlk. - Krupnicza - Podwale - pl. Teatralny - OPERA",0,31,"2021-07-17","2999-01-01"
8,3,"8","","TARNOGAJ - Tarnogajska - Aleja Armii Krajowej - Bardzka - Hubska - Gliniana - Borowska - Peronowa - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - Bema - Poniatowskiego - Słowiańska - pl. Powstańców Wielkopolskich - Trzebnicka - Żmigrodzka - KARŁOWICE|KARŁOWICE - Trzebnicka - pl. Powstańców Wielkopolskich - Słowiańska - Poniatowskiego - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Skargi - Kołłątaja - Peronowa - Borowska - Gliniana - Hubska - Bardzka - Aleja Armii Krajowej - Tarnogajska - TARNOGAJ",0,31,"2021-07-17","2999-01-01"
9,3,"9","","SĘPOLNO - Mickiewicza - Aleja Paderewskiego - Aleja Różyckiego - Aleja Kochanowskiego - Grunwaldzka - Sienkiewicza - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Skargi - Kołłątaja - Peronowa - Borowska - Ślężna - PARK POŁUDNIOWY|PARK POŁUDNIOWY - Borowska - Peronowa - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - Sienkiewicza - Aleja Kochanowskiego - Aleja Różyckiego - Aleja Paderewskiego - Mickiewicza - SĘPOLNO",0,31,"2021-07-17","2999-01-01"
10,3,"10","","LEŚNICA - Średzka - Kosmonautów - Lotnicza - Legnicka - Złotoryjska - TAT - Podwale - pl. Teatralny - Teatralna - Oławska - pl. Powstańców Warszawy - Wyszyńskiego - Szczytnicka - Rondo Reagana - Curie-Skłodowskiej - Wróblewskiego - Olszewskiego - BISKUPIN|BISKUPIN - Wróblewskiego - Curie-Skłodowskiej - Rondo Reagana - Curie-Skłodowskiej - Wyszyńskiego - pl. Powstańców Warszawy - Oławska - Teatralna - pl. Teatralny - Podwale - TAT - Śrubowa - Złotoryjska - Legnicka - Lotnicza - Kosmonautów - Średzka - LEŚNICA",0,31,"2021-07-17","2999-01-01"
11,3,"11","","KROMERA - Toruńska - Jedności Narodowej - Poniatowskiego - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Skargi - Kołłątaja - Piłsudskiego - Grabiszyńska - GRABISZYŃSKA (CMENTARZ)|GRABISZYŃSKA (CMENTARZ) - Piłsudskiego - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - Bema - Poniatowskiego - Jedności Narodowej - Toruńska - KROMERA",0,31,"2021-07-17","2999-01-01"
15,3,"15","","PARK POŁUDNIOWY - Ślężna - Borowska - Stawowa - Piłsudskiego - Świdnicka - pl. Teatralny - Widok - Szewska - Drobnera - Chrobrego - pl. Powstańców Wielkopolskich - pl. Staszica - Reymonta - Bałtycka - Żmigrodzka - POŚWIĘTNE|POŚWIĘTNE - Bałtycka - Reymonta - pl. Staszica - pl. Powstańców Wielkopolskich - Chrobrego - Drobnera - Grodzka - Kazimierza Wlk. - Krupnicza - Sądowa - Piłsudskiego - Borowska - Ślężna - PARK POŁUDNIOWY",0,31,"2021-07-17","2999-01-01"
16,3,"16","","TARNOGAJ - Tarnogajska - Aleja Armii Krajowej - Bardzka - Hubska - Pułaskiego - Traugutta - pl. Powstańców Warszawy - pl. Grunwaldzki - Rondo Reagana - Curie-Skłodowskiej - Wróblewskiego - ZOO|ZOO - Curie-Skłodowskiej - Rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Traugutta - Pułaskiego - Hubska - Bardzka - Aleja Armii Krajowej - Tarnogajska - TARNOGAJ",0,31,"2021-07-17","2999-01-01"
17,3,"17","","KLECINA - Wałbrzyska - Przyjaźni - Karkonoska - Powstańców Śl. - Aleja Hallera - Grabiszyńska - Piłsudskiego - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - Sienkiewicza - Aleja Kochanowskiego - Aleja Różyckiego - Aleja Paderewskiego - Mickiewicza - SĘPOLNO|SĘPOLNO - Aleja Paderewskiego - Aleja Różyckiego - Aleja Kochanowskiego - Grunwaldzka - Sienkiewicza - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Skargi - Kołłątaja - Piłsudskiego - Grabiszyńska - Aleja Hallera - Powstańców Śl. - Karkonoska - Przyjaźni - Wałbrzyska - KLECINA",0,31,"2021-07-17","2999-01-01"
31,3,"31","","GAJ - Świeradowska - Bardzka - Hubska - Gliniana - Borowska - Stawowa - Piłsudskiego - TAT - Śrubowa - Złotoryjska - Legnicka - Lotnicza - PILCZYCE|PILCZYCE - Legnicka - Złotoryjska - TAT - Piłsudskiego - Borowska - Gliniana - Hubska - Bardzka - Świeradowska - GAJ",0,31,"2021-07-17","2999-01-01"
33,3,"33","","PILCZYCE - Lotnicza - Legnicka - Złotoryjska - TAT - Podwale - pl. Teatralny - Teatralna - Oławska - pl. Powstańców Warszawy - pl. Grunwaldzki - Rondo Reagana - pl. Grunwaldzki - Aleja Kochanowskiego - Aleja Różyckiego - Aleja Paderewskiego - Mickiewicza - SĘPOLNO|SĘPOLNO - Aleja Paderewskiego - Aleja Różyckiego - Aleja Kochanowskiego - pl. Grunwaldzki - Rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Oławska - Teatralna - pl. Teatralny - Podwale - TAT - Śrubowa - Złotoryjska - Legnicka - Lotnicza - PILCZYCE",0,31,"2021-07-17","2999-01-01"
70,3,"70","","PARK POŁUDNIOWY - Ślężna - Borowska - Peronowa - Małachowskiego - Pułaskiego - Traugutta - pl. Powstańców Warszawy - pl. Grunwaldzki - Rondo Reagana - Piastowska - Nowowiejska - Jedności Narodowej - Słowiańska - pl. Powstańców Wielkopolskich - pl. Staszica - Reymonta - Osobowicka - OSOBOWICE|OSOBOWICE - Reymonta - pl. Staszica - pl. Powstańców Wielkopolskich - Słowiańska - Jedności Narodowej - Nowowiejska - Piastowska - Rondo Reagana - pl. Grunwaldzki - pl. Powstańców Warszawy - Traugutta - Pułaskiego - Małachowskiego - Piłsudskiego - Peronowa - Borowska - Ślężna - PARK POŁUDNIOWY",0,33,"2021-07-17","2999-01-01"
72,3,"72","","WROCŁAWSKI PARK PRZEMYSŁOWY - Fabryczna - TAT - Podwale - Świdnicka - Powstańców Śl. - HALLERA|HALLERA - pl. Powstańców Śląskich - Powstańców Śl. - Świdnicka - Podwale - TAT - Fabryczna - WROCŁAWSKI PARK PRZEMYSŁOWY",0,33,"2021-07-17","2999-01-01"
73,3,"73","","LEŚNICA - Średzka - Kosmonautów - Lotnicza - Legnicka - Złotoryjska - TAT - Piłsudskiego - Kołłątaja - Bł. Czesława - Św. Katarzyny - Piaskowa - Bema - Poniatowskiego - Jedności Narodowej - Toruńska - KROMERA|KROMERA - Jedności Narodowej - Poniatowskiego - pl. Bema - Piaskowa - Św. Katarzyny - Bł. Czesława - Skargi - Kołłątaja - Piłsudskiego - TAT - Śrubowa - Złotoryjska - Legnicka - Lotnicza - Kosmonautów - Średzka - LEŚNICA",0,33,"2021-07-17","2999-01-01"
74,3,"74","","OPORÓW - Grabiszyńska - Podwale - pl. Teatralny - Widok - Szewska - Drobnera - Chrobrego - pl. Powstańców Wielkopolskich - pl. Staszica - Reymonta - Osobowicka - OSOBOWICE|OSOBOWICE - Reymonta - pl. Staszica - pl. Powstańców Wielkopolskich - Chrobrego - Drobnera - Grodzka - Kazimierza Wlk. - Krupnicza - Sądowa - Grabiszyńska - OPORÓW",0,33,"2021-07-17","2999-01-01"
76,3,"76","","OPERA - pl. Teatralny - Widok - Szewska - Grodzka - Kazimierza Wlk. - Krupnicza - Podwale - Świdnicka - Powstańców Śl. - HALLERA|HALLERA - pl. Powstańców Śląskich - Powstańców Śl. - Świdnicka - pl. Teatralny - OPERA",0,33,"2021-07-17","2999-01-01"
100,2,"100","","MOKRY DWÓR - Batorego - Starodworska - Księska - Opolska - Karwińska - Gazowa - Tarnogajska - Gazowa - Świeradowska - GAJ - PĘTLA|GAJ - PĘTLA - Morwowa - Gazowa - Opolska - Księska - Starodworska - Batorego - MOKRY DWÓR",3,30,"2021-06-26","2999-01-01"
101,2,"101","","LEŚNICA - Płońskiego - Trzmielowicka - Średzka - Jeleniogórska - Stabłowicka - Brodzka - Królewiecka - Pilczycka - Wejherowska - KWISKA|KWISKA - Popowicka - Pilczycka - Królewiecka - Brodzka - Stabłowicka - Jeleniogórska - Płońskiego - LEŚNICA",3,30,"2021-06-26","2999-01-01"
102,2,"102","","GRABOWA - Kosmonautów - Fieldorfa - Wojanowska - Jeleniogórska - Główna - Maślicka - Pilczycka - Legnicka - Zachodnia - Rybacka - Sokolnicza - PL. JANA PAWŁA II|PL. JANA PAWŁA II - Legnicka - Zachodnia - Legnicka - Wejherowska - Popowicka - Pilczycka - Maślicka - Główna - Stabłowicka - Jeleniogórska - Wojanowska - Fieldorfa - Kosmonautów - GRABOWA",3,30,"2021-06-26","2999-01-01"
103,2,"103","","PRACZE ODRZAŃSKIE - Brodzka - Stabłowicka - Główna - Maślicka - Pilczycka - Wejherowska - Popowicka - Starogroblowa - Długa - Mostowa - Sokolnicza - PL. JANA PAWŁA II|PL. JANA PAWŁA II - Legnicka - Zachodnia - Poznańska - Długa - Starogroblowa - Popowicka - Pilczycka - Maślicka - Główna - Stabłowicka - Brodzka - PRACZE ODRZAŃSKIE",3,30,"2021-06-26","2999-01-01"
104,2,"104","","RĘDZIŃSKA - Rędzińska - Maślicka - Pilczycka - Kozanowska - Wejherowska - Popowicka - Starogroblowa - Długa - Mostowa - Legnicka - PL. JANA PAWŁA II|PL. JANA PAWŁA II - Zachodnia - Poznańska - Długa - Starogroblowa - Popowicka - Kozanowska - Pilczycka - Maślicka - Rędzińska - RĘDZIŃSKA",3,30,"2021-06-26","2999-01-01"
105,2,"105","","ŚWINIARY - Pęgowska - Zajączkowska - Pełczyńska - Obornicka - Broniewskiego - Kasprowicza - Berenta - KROMERA|KROMERA - Boya-Żeleńskiego - Berenta - Kasprowicza - Broniewskiego - Obornicka - Pełczyńska - Zajączkowska - Pęgowska - ŚWINIARY",3,30,"2021-07-10","2999-01-01"
106,2,"106","","PORT LOTNICZY - Graniczna - Skarżyńskiego - Graniczna - Strzegomska - Otyńska - Fabryczna - Śrubowa - Strzegomska - Legnicka - Kazimierza Wlk. - Oławska - Dworcowa - DWORZEC GŁÓWNY (DWORCOWA)|DWORZEC GŁÓWNY (DWORCOWA) - Podwale - Kazimierza Wlk. - Legnicka - Strzegomska - TAT - Fabryczna - Strzegomska - Graniczna - Skarżyńskiego - Graniczna - PORT LOTNICZY",3,30,"2021-07-10","2999-01-01"
107,2,"107","","KRZYKI - Karkonoska - Krzycka - Wałbrzyska - Karmelkowa - Giełdowa - Karmelkowa - Solskiego - Grabiszyńska - Ostrowskiego - Krzemieniecka - Stanisławowska - Mińska - Strzegomska - Otyńska - Fabryczna - Śrubowa - Strzegomska - Poznańska - Zachodnia - Rybacka - PL. SOLIDARNOŚCI|PL. SOLIDARNOŚCI - Legnicka - Strzegomska - TAT - Fabryczna - Strzegomska - Mińska - Stanisławowska - Krzemieniecka - Ostrowskiego - Grabiszyńska - Solskiego - Karmelkowa - Giełdowa - Karmelkowa - Wałbrzyska - Krzycka - Karkonoska - KRZYKI",3,30,"2021-07-10","2999-01-01"
108,2,"108","","PRACZE WIDAWSKIE - Zduńska - Kominiarska - Pełczyńska - Obornicka - Broniewskiego - Żmigrodzka - Trzebnicka - pl. Powstańców Wielkopolskich - DWORZEC NADODRZE|DWORZEC NADODRZE - Trzebnicka - Broniewskiego - Obornicka - Pełczyńska - Kominiarska - Zduńska - PRACZE WIDAWSKIE",3,30,"2021-06-26","2999-01-01"
109,2,"109","","JARNOŁTÓW - Jarnołtowska - Jerzmanowska - Żernicka - Zemska - Rogowska - Gubińska - Strzegomska - Otyńska - Fabryczna - Śrubowa - Strzegomska - Poznańska - Zachodnia - Rybacka - PL. SOLIDARNOŚCI|PL. SOLIDARNOŚCI - Legnicka - Strzegomska - TAT - Fabryczna - Strzegomska - Chociebuska - Rogowska - Żernicka - Jerzmanowska - Jarnołtowska - JARNOŁTÓW",3,30,"2021-06-26","2999-01-01"
110,2,"110","","IWINY - RONDO - Strzelińska - Buforowa - Bardzka - Hubska - Sucha - Peronowa - Kołłątaja - Słowackiego - GALERIA DOMINIKAŃSKA|GALERIA DOMINIKAŃSKA - Piotra Skargi - Kołłątaja - Peronowa - Sucha - Hubska - Bardzka - Buforowa - Strzelińska - IWINY - RONDO",3,30,"2021-07-10","2999-01-01"
111,2,"111","","KMINKOWA - Kminkowa - Cynamonowa - Pełczyńska - Obornicka - Broniewskiego - Żmigrodzka - Zakładowa - Rychtalska - Jedności Narodowej - Poniatowskiego - Sienkiewicza - Wyszyńskiego - Szczytnicka - Piastowska - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Sienkiewicza - Bema - Poniatowskiego - Jedności Narodowej - Rychtalska - Słonimskiego - Zakładowa - Broniewskiego - Obornicka - Pełczyńska - Cynamonowa - Kminkowa - KMINKOWA",3,30,"2021-07-10","2999-01-01"
112,2,"112","","KRZYKI - Karkonoska - Waligórskiego - Wojszycka - Ołtaszyńska - Radosna - Chabrowa - Kutrzeby - Parafialna - Grota-Roweckiego - Borowska - Peronowa - DWORZEC GŁÓWNY|DWORZEC GŁÓWNY - Ślężna - Gliniana - Borowska - Grota-Roweckiego - Parafialna - Kutrzeby - Chabrowa - Radosna - Ołtaszyńska - Wojszycka - Waligórskiego - Karkonoska - KRZYKI",3,30,"2021-06-26","2999-01-01"
113,2,"113","","KRZYKI - Zwycięska - Strachowskiego - Kurpiów - Grota-Roweckiego - Borowska - Peronowa - DWORZEC GŁÓWNY|DWORZEC GŁÓWNY - Ślężna - Gliniana - Borowska - Grota-Roweckiego - Kurpiów - Strachowskiego - Zwycięska - Karkonoska - KRZYKI",3,30,"2021-06-26","2999-01-01"
114,2,"114","","GALERIA DOMINIKAŃSKA - Słowackiego - Kościuszki - Krakowska - Karwińska - Mościckiego - Semaforowa - Centralna - Chińska - Mościckiego - Ziemniaczana - BIEŃKOWICE|BIEŃKOWICE - Mościckiego - Chińska - Mościckiego - Krakowska - Kościuszki - Komuny Paryskiej - Podwale - Słowackiego - GALERIA DOMINIKAŃSKA|BIEŃKOWICE - Ziemniaczana - Mościckiego - Chińska - Mościckiego - Krakowska - Kościuszki - Komuny Paryskiej - Podwale - Słowackiego - GALERIA DOMINIKAŃSKA",3,30,"2021-06-26","2999-01-01"
115,2,"115","","WOJNÓW (PĘTLA) - Strachocińska - Swojczycka - Mickiewicza - Skłodowskiej-Curie - pl. Grunwaldzki - Skłodowskiej-Curie - REJA|PL. GRUNWALDZKI - pl. Grunwaldzki - Skłodowskiej-Curie - Mickiewicza - Swojczycka - Strachocińska - WOJNÓW (PĘTLA)",3,30,"2021-06-26","2999-01-01"
