route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_type2_id,valid_from,valid_until
116,2,"116 ","","SOŁTYSOWICE - Redycka - Sołtysowicka - Koszarowa - Kasprowicza - Boya-Żeleńskiego - Toruńska - Brücknera - Kochanowskiego - Norwida - pl. Grunwaldzki - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Kochanowskiego - Toruńska - Boya-Żeleńskiego - Kasprowicza - Czajkowskiego - Sołtysowicka - Redycka - SOŁTYSOWICE|PL. GRUNWALDZKI - pl. Grunwaldzki - Kochanowskiego - Toruńska - Boya-Żeleńskiego - Kasprowicza - Czajkowskiego - Sołtysowicka - Redycka - SOŁTYSOWICE",3,30,"2021-06-26","2999-01-01"
117,11,"117","","RATYŃ - Gromadzka - Szkolna - Miodowa - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Miodowa - Szkolna - Gromadzka - RATYŃ",3,30,"2021-07-23","2999-01-01"
118,2,"118","","SĘPOLNO - Mickiewicza - Swojczycka - Miłoszycka - Kowalska - Krzywoustego - Brücknera - Toruńska - Boya-Żeleńskiego - Berenta - Kasprowicza - Broniewskiego - Obornicka - Bezpieczna - Łużycka - Osobowicka - Wędkarzy - RĘDZIN|RĘDZIN - Osobowicka - Łużycka - Bezpieczna - Obornicka - Broniewskiego - Kasprowicza - Berenta - Toruńska - Brücknera - Kowalska - Miłoszycka - Swojczycka - Mickiewicza - SĘPOLNO|RĘDZIN - Wędkarzy - Osobowicka - Łużycka - Bezpieczna - Obornicka - Broniewskiego - Kasprowicza - Berenta - Toruńska - Brücknera - Kowalska - Miłoszycka - Swojczycka - Mickiewicza - SĘPOLNO",3,30,"2021-06-26","2999-01-01"
119,2,"119","","BLACHARSKA - Blacharska - Lakiernicza - Ojca Beyzyma - Hallera - Ostrowskiego - Krzemieniecka - Stanisławowska - Mińska - Strzegomska - Klecińska - Na Ostatnim Groszu - Wejherowska - Popowicka - Milenijna - most Milenijny - Osobowicka - Łużycka - Bezpieczna - Obornicka - Broniewskiego - Kasprowicza - Czajkowskiego - Sołtysowicka - Redycka - SOŁTYSOWICE|SOŁTYSOWICE - Sołtysowicka - Koszarowa - Kasprowicza - Broniewskiego - Obornicka - Bezpieczna - Łużycka - Osobowicka - most Milenijny - Milenijna - Legnicka - Na Ostatnim Groszu - Estakada - Strzegomska - Mińska - Stanisławowska - Krzemieniecka - Petuniowa - Hallera - Ojca Beyzyma - Lakiernicza - Blacharska - BLACHARSKA",3,30,"2021-07-10","2999-01-01"
120,2,"120","","TRESTNO (PĘTLA) - Nadodrzańska - Opatowicka - Międzyrzecka - Na Niskich Łąkach - Kościuszki - Komuny Paryskiej - Podwale - Słowackiego - GALERIA DOMINIKAŃSKA|GALERIA DOMINIKAŃSKA - Kościuszki - Na Niskich Łąkach - Międzyrzecka - Opatowicka - Nadodrzańska - TRESTNO (PĘTLA)|GALERIA DOMINIKAŃSKA - Słowackiego - Kościuszki - Na Niskich Łąkach - Międzyrzecka - Opatowicka - Nadodrzańska - TRESTNO (PĘTLA)",3,30,"2021-07-14","2999-01-01"
121,2,"121","","KIEŁCZOWSKA (CMENTARZ) - Kiełczowska - Żmudzka - Litewska - Gorlicka - ks. Mariana Stanety - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - Skłodowskiej-Curie - REJA|PL. GRUNWALDZKI - pl. Grunwaldzki - Kochanowskiego - Brücknera - Krzywoustego - ks. Mariana Stanety - Gorlicka - Litewska - Żmudzka - Kiełczowska - KIEŁCZOWSKA (CMENTARZ)",3,30,"2021-06-26","2999-01-01"
122,2,"122","","NOWY DWÓR (PĘTLA) - Rogowska - Strzegomska - Gubińska - Chociebuska - Hermanowska - Koszalińska - Bystrzycka - Balonowa - Horbaczewskiego - Na Ostatnim Groszu - Wejherowska - Popowicka - Starogroblowa - Długa - Poznańska - Zachodnia - Rybacka - Legnicka - Piłsudskiego - Zielińskiego - Swobodna - Sucha - DWORZEC AUTOBUSOWY|DWORZEC AUTOBUSOWY - Swobodna - Zielińskiego - Piłsudskiego - Legnicka - Zachodnia - Poznańska - Długa - Starogroblowa - Popowicka - Rysia - Legnicka - Orlińskiego - Horbaczewskiego - Balonowa - Bystrzycka - Hermanowska - Gubińska - Strzegomska - Rogowska - NOWY DWÓR (PĘTLA)",3,30,"2021-06-26","2999-01-01"
123,11,"123","","METALOWCÓW - Lotnicza - Górnicza - Pilczycka - Królewiecka - Maślicka - Główna - Marszowicka - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Marszowicka - Główna - Maślicka - Królewiecka - Pilczycka - Hutnicza - Lotnicza - METALOWCÓW",3,30,"2021-07-23","2999-01-01"
124,2,"124","","NOWY DWÓR (PĘTLA) - Rogowska - Strzegomska - Klecińska - Grabiszyńska - Stalowa - Grochowa - Zaporoska - Kamienna - Bardzka - Armii Krajowej - Tarnogajska - Gazowa - Opolska - Tyska - KSIĘŻE WIELKIE|KSIĘŻE WIELKIE - Opolska - Karwińska - Gazowa - Tarnogajska - Armii Krajowej - Bardzka - Kamienna - Zaporoska - Grochowa - Grabiszyńska - Klecińska - Strzegomska - Rogowska - NOWY DWÓR (PĘTLA)|KSIĘŻE WIELKIE - Tyska - Opolska - Karwińska - Gazowa - Tarnogajska - Armii Krajowej - Bardzka - Kamienna - Zaporoska - Grochowa - Grabiszyńska - Klecińska - Strzegomska - Rogowska - NOWY DWÓR (PĘTLA)",3,30,"2021-07-10","2999-01-01"
125,2,"125","","BROCHÓW - Chińska - Mościckiego - Gazowa - Tarnogajska - Armii Krajowej - Bardzka - Hubska - Sucha - Komandorska - Wielka - Krucza - Inżynierska - Hallera - Grabiszyńska - Solskiego - Aleja Piastów - Racławicka - Skarbowców - Sowia - Karkonoska - KRZYKI|KRZYKI - Sowia - Skarbowców - Racławicka - Aleja Piastów - Solskiego - Grabiszyńska - Hallera - Aleja Pracy - Inżynierska - Krucza - Wielka - Komandorska - Sucha - Hubska - Bardzka - Armii Krajowej - Tarnogajska - Gazowa - Mościckiego - Semaforowa - Centralna - Chińska - BROCHÓW",3,30,"2021-07-14","2999-01-01"
126,2,"126","","RACŁAWICKA - Racławicka - Gajowicka - Hallera - Powstańców Śl. - Zaporoska - Grabiszyńska - Klecińska - Strzegomska - Chociebuska - Hermanowska - Koszalińska - Bystrzycka - Bajana - Lotnicza - Wejherowska - Popowicka - Kozanowska - KOZANÓW|KOZANÓW - Lotnicza - Bajana - Bystrzycka - Hermanowska - Gubińska - Strzegomska - Klecińska - Grabiszyńska - Zaporoska - Powstańców Śl. - Racławicka - RACŁAWICKA|KOZANÓW - Kozanowska - Lotnicza - Bajana - Bystrzycka - Hermanowska - Gubińska - Strzegomska - Klecińska - Grabiszyńska - Zaporoska - Powstańców Śl. - Racławicka - RACŁAWICKA",3,30,"2021-06-26","2999-01-01"
127,2,"127","","ZWYCIĘSKA - Zwycięska - Ołtaszyńska - Wojszycka - Ślężna - Wiśniowa - Hallera - Gajowicka - Zaporoska - Tęczowa - Legnicka - Zachodnia - Poznańska - Długa - Starogroblowa - Popowicka - Kozanowska - Pilczycka - Maślicka - KOZIA|KOZIA - Pilczycka - Kozanowska - Wejherowska - Popowicka - Starogroblowa - Długa - Poznańska - Zachodnia - Rybacka - Legnicka - Tęczowa - Zaporoska - Gajowicka - Wiśniowa - Ślężna - Wojszycka - Ołtaszyńska - Zwycięska - ZWYCIĘSKA",3,30,"2021-06-26","2999-01-01"
128,2,"128 ","","PILCZYCE - Lotnicza - Metalowców - Bystrzycka - Balonowa - Horbaczewskiego - Na Ostatnim Groszu - Wejherowska - Popowicka - Starogroblowa - Długa - mosty Mieszczańskie - Dubois - Drobnera - Sienkiewicza - Wyszyńskiego - Krzywoustego - Bora-Komorowskiego - Okulickiego - ZAKRZÓW|ZAKRZÓW - Bora-Komorowskiego - Krzywoustego - Wyszyńskiego - Sienkiewicza - Drobnera - Dubois - Dmowskiego - Długa - Starogroblowa - Popowicka - Rysia - Legnicka - Orlińskiego - Horbaczewskiego - Balonowa - Bystrzycka - Metalowców - Lotnicza - PILCZYCE",3,30,"2021-07-14","2999-01-01"
129,2,"129","","PORT LOTNICZY - Graniczna - Brzezińskiego - Kaczorowskiego - Piołunowa - Jerzmanowska - Żernicka - Kołobrzeska - Koszalińska - Bystrzycka - Balonowa - Horbaczewskiego - Na Ostatnim Groszu - Wejherowska - Popowicka - Milenijna - most Milenijny - Osobowicka - Broniewskiego - Żmigrodzka - Poświęcka - POŚWIĘCKA (OŚRODEK ZDROWIA)|POŚWIĘCKA (OŚRODEK ZDROWIA) - Kuklińskiego - Żmigrodzka - Broniewskiego - Bałtycka - Osobowicka - most Milenijny - Milenijna - Legnicka - Orlińskiego - Horbaczewskiego - Balonowa - Bystrzycka - Hermanowska - Kołobrzeska - Żernicka - Jerzmanowska - Piołunowa - Kaczorowskiego - Brzezińskiego - Graniczna - PORT LOTNICZY|POŚWIĘCKA (OŚRODEK ZDROWIA) - Poświęcka - Kuklińskiego - Żmigrodzka - Broniewskiego - Bałtycka - Osobowicka - most Milenijny - Milenijna - Legnicka - Orlińskiego - Horbaczewskiego - Balonowa - Bystrzycka - Hermanowska - Kołobrzeska - Żernicka - Jerzmanowska - Piołunowa - Kaczorowskiego - Brzezińskiego - Graniczna - PORT LOTNICZY",3,30,"2021-06-26","2999-01-01"
130,2,"130","","OSIEDLE SOBIESKIEGO - Królewska - Bora-Komorowskiego - Krzywoustego - Boya-Żeleńskiego - Berenta - Kasprowicza - Żmigrodzka - Kamieńskiego - POLANOWICE|POLANOWICE - Żmigrodzka - Kasprowicza - Berenta - Krzywoustego - Bora-Komorowskiego - Królewska - OSIEDLE SOBIESKIEGO",3,30,"2021-06-26","2999-01-01"
131,2,"131","","LITEWSKA - Litewska - Żmudzka - Kiełczowska - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - Skłodowskiej-Curie - REJA|PL. GRUNWALDZKI - pl. Grunwaldzki - Kochanowskiego - Brücknera - Krzywoustego - Kiełczowska - Żmudzka - Litewska - LITEWSKA",3,30,"2021-06-26","2999-01-01"
132,2,"132","","AWICENNY (POCZTA POLSKA) - Ibn Siny Awicenny - Stanisławowska - Mińska - Strzegomska - Otyńska - Fabryczna - Śrubowa - Strzegomska - Legnicka - Kazimierza Wlk. - Pomorska - pl. Powstańców Wielkopolskich - Trzebnicka - Kasprowicza - Berenta - KROMERA|KROMERA - Boya-Żeleńskiego - Berenta - Kasprowicza - Żmigrodzka - Trzebnicka - pl. Powstańców Wielkopolskich - Pomorska - Drobnera - Nowy Świat - Legnicka - Strzegomska - TAT - Fabryczna - Strzegomska - Mińska - Stanisławowska - Ibn Siny Awicenny - AWICENNY (POCZTA POLSKA)",3,30,"2021-06-26","2999-01-01"
133,2,"133","","BROCHÓW - Chińska - Centralna - Konduktorska - Buforowa - Bardzka - Armii Krajowej - Borowska - Kamienna - Powstańców Śl. - Racławicka - Skarbowców - Sowia - Krzycka - Wałbrzyska - Czekoladowa - Francuska - ROD BIELANY|ROD BIELANY - Czekoladowa - Wałbrzyska - Krzycka - Sowia - Skarbowców - Racławicka - Gajowicka - Hallera - Powstańców Śl. - Kamienna - Borowska - Armii Krajowej - Bardzka - Buforowa - Konduktorska - Centralna - Chińska - BROCHÓW",3,30,"2021-07-14","2999-01-01"
134,2,"134","","NOWY DWÓR (PĘTLA) - Rogowska - Strzegomska - Klecińska - Grabiszyńska - Stalowa - Grochowa - Zaporoska - Kamienna - Bardzka - Armii Krajowej - Krakowska - Opolska - Tyska - KSIĘŻE WIELKIE|KSIĘŻE WIELKIE - Opolska - Krakowska - Armii Krajowej - Bardzka - Kamienna - Zaporoska - Grochowa - Grabiszyńska - Klecińska - Strzegomska - Rogowska - NOWY DWÓR (PĘTLA)",3,30,"2021-07-10","2999-01-01"
136,2,"136","","TARNOGAJ - Tarnogajska - Gazowa - Świeradowska - Borowska - Armii Krajowej - Wiśniowa - Hallera - Klecińska - Na Ostatnim Groszu - Orlińskiego - Horbaczewskiego - Balonowa - Bajana - Górnicza - Gwarecka - Dokerska - Kozanowska - KOZANÓW|KOZANÓW - Dokerska - Pilczycka - Hutnicza - Bajana - Bystrzycka - Balonowa - Horbaczewskiego - Na Ostatnim Groszu - Estakada - Klecińska - Hallera - Wiśniowa - Armii Krajowej - Borowska - Świeradowska - Morwowa - Gazowa - TARNOGAJ",3,30,"2021-06-26","2999-01-01"
137,11,"137","","LAS MOKRZAŃSKI - Wińska - Dolnobrzeska - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Dolnobrzeska - Wińska - LAS MOKRZAŃSKI",3,30,"2021-07-23","2999-01-01"
138,11,"138","","ŻAR - Średzka - Trzmielowicka - Rubczaka - Płońskiego - LEŚNICA|LEŚNICA - Rubczaka - Trzmielowicka - Średzka - ŻAR",3,30,"2021-07-23","2999-01-01"
140,2,"140","","ŚLAZOWA - Ślazowa - Lipska - Osobowicka - most Milenijny - Milenijna - Legnicka - KWISKA|KWISKA - Milenijna - most Milenijny - Osobowicka - Lipska - Ślazowa - ŚLAZOWA",3,30,"2021-06-26","2999-01-01"
141,2,"141","","OSIEDLE SOBIESKIEGO - Królewska - Bora-Komorowskiego - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - Skłodowskiej-Curie - REJA|PL. GRUNWALDZKI - pl. Grunwaldzki - Kochanowskiego - Brücknera - Krzywoustego - Bora-Komorowskiego - Królewska - OSIEDLE SOBIESKIEGO",3,30,"2021-06-26","2999-01-01"
142,2,"142","","NOWY DWÓR (PĘTLA) - Rogowska - Strzegomska - Otyńska - Fabryczna - Śrubowa - Strzegomska - Legnicka - Kazimierza Wlk. - Pomorska - Reymonta - Osobowicka - Łużycka - Bezpieczna - Obornicka - Broniewskiego - Żmigrodzka - KARŁOWICE|KARŁOWICE - Broniewskiego - Obornicka - Bezpieczna - Łużycka - Osobowicka - Reymonta - Pomorska - Drobnera - Nowy Świat - Legnicka - Strzegomska - TAT - Fabryczna - Strzegomska - Rogowska - NOWY DWÓR (PĘTLA)",3,30,"2021-06-26","2999-01-01"
143,2,"143","","KMINKOWA - Kminkowa - Cynamonowa - Pełczyńska - Obornicka - Nowaka-Jeziorańskiego - most Milenijny - Milenijna - Legnicka - Na Ostatnim Groszu - Estakada - Klecińska - Grabiszyńska - OPORÓW|OPORÓW - Klecińska - Na Ostatnim Groszu - Wejherowska - Popowicka - Milenijna - most Milenijny - Obornicka - Pełczyńska - Cynamonowa - Kminkowa - KMINKOWA",3,30,"2021-06-26","2999-01-01"
144,2,"144","","ZWYCIĘSKA - Zwycięska - Ołtaszyńska - Wojszycka - Sudecka - Wiśniowa - Hallera - Gajowicka - Szczęśliwa - Zielińskiego - Piłsudskiego - Podwale - mosty Mieszczańskie - Dubois - Drobnera - Chrobrego - pl. Powstańców Wielkopolskich - Trzebnicka - Żmigrodzka - Kamieńskiego - POLANOWICE|POLANOWICE - Żmigrodzka - Trzebnicka - pl. Powstańców Wielkopolskich - Chrobrego - Drobnera - Nowy Świat - Podwale - Piłsudskiego - Zielińskiego - Gajowicka - Wiśniowa - Sudecka - Wojszycka - Ołtaszyńska - Zwycięska - ZWYCIĘSKA",3,30,"2021-06-26","2999-01-01"
145,2,"145","","SĘPOLNO - Mickiewicza - Monte Cassino - Dembowskiego - Wróblewskiego - Wajdy - Skłodowskiej-Curie - pl. Grunwaldzki - Oławska - Dworcowa - Peronowa - Ślężna - Gliniana - Borowska - Świeradowska - Bardzka - Buforowa - Strzelińska - IWINY - RONDO|IWINY - RONDO - Buforowa - Bardzka - Świeradowska - Borowska - Peronowa - Kościuszki - Krasińskiego - pl. Powstańców Warszawy - pl. Grunwaldzki - Skłodowskiej-Curie - Wróblewskiego - Dembowskiego - Monte Cassino - Mickiewicza - SĘPOLNO|IWINY - RONDO - Strzelińska - Buforowa - Bardzka - Świeradowska - Borowska - Peronowa - Kościuszki - Krasińskiego - pl. Powstańców Warszawy - pl. Grunwaldzki - Skłodowskiej-Curie - Wróblewskiego - Dembowskiego - Monte Cassino - Mickiewicza - SĘPOLNO",3,30,"2021-06-26","2999-01-01"
146,2,"146","","BARTOSZOWICE - Bacciarellego - Dembowskiego - Wróblewskiego - Wajdy - Skłodowskiej-Curie - pl. Grunwaldzki - Oławska - Dworcowa - Peronowa - Ślężna - Gliniana - Borowska - Armii Krajowej - Bardzka - Świeradowska - GAJ - PĘTLA|GAJ - PĘTLA - Bardzka - Armii Krajowej - Borowska - Peronowa - Kościuszki - Krasińskiego - pl. Powstańców Warszawy - pl. Grunwaldzki - Skłodowskiej-Curie - Wróblewskiego - Dembowskiego - Bacciarellego - BARTOSZOWICE",3,30,"2021-06-26","2999-01-01"
147,2,"147","","KŁOKOCZYCE - Kłokoczycka - Zakrzowska - Krzywoustego - Gorlicka - ks. Mariana Stanety - MULICKA|MULICKA - Bora-Komorowskiego - Zakrzowska - Kłokoczycka - KŁOKOCZYCE",3,30,"2021-06-26","2999-01-01"
148,2,"148","","LEŚNICA - Płońskiego - Trzmielowicka - Średzka - Kosmonautów - Złotnicka - Małopolska - Halicka - Żernicka - Zemska - Rogowska - Gubińska - Strzegomska - Otyńska - Fabryczna - Śrubowa - Strzegomska - Legnicka - Kazimierza Wlk. - Oławska - Dworcowa - DWORZEC GŁÓWNY (DWORCOWA)|DWORZEC GŁÓWNY (DWORCOWA) - Podwale - Kazimierza Wlk. - Legnicka - Strzegomska - TAT - Fabryczna - Strzegomska - Chociebuska - Rogowska - Żernicka - Małopolska - Wielkopolska - Złotnicka - Kosmonautów - Płońskiego - LEŚNICA|DWORZEC GŁÓWNY (DWORCOWA) - Dworcowa - Podwale - Kazimierza Wlk. - Legnicka - Strzegomska - TAT - Fabryczna - Strzegomska - Chociebuska - Rogowska - Żernicka - Małopolska - Wielkopolska - Złotnicka - Kosmonautów - Płońskiego - LEŚNICA",3,30,"2021-07-10","2999-01-01"
149,2,"149","","KUŹNIKI - Kołobrzeska - Hermanowska - Kołobrzeska - Zemska - Rogowska - Strzegomska - Otyńska - Fabryczna - Śrubowa - Strzegomska - Legnicka - Kazimierza Wlk. - Oławska - pl. Powstańców Warszawy - pl. Grunwaldzki - PL. GRUNWALDZKI|PL. GRUNWALDZKI - Oławska - Kazimierza Wlk. - Legnicka - Strzegomska - TAT - Fabryczna - Strzegomska - Rogowska - Żernicka - Kołobrzeska - KUŹNIKI",3,30,"2021-06-26","2999-01-01"
150,2,"150","","LITEWSKA - Litewska - Żmudzka - Kiełczowska - Gorlicka - ks. Mariana Stanety - Bierutowska - Królewska - OSIEDLE SOBIESKIEGO|OSIEDLE SOBIESKIEGO - Dobroszycka - Bierutowska - ks. Mariana Stanety - Gorlicka - Litewska - Kiełczowska - Żmudzka - Litewska - LITEWSKA",3,30,"2021-06-26","2999-01-01"
151,2,"151 ","","PAWŁOWICE (WIDAWSKA) - Widawska - Pawłowicka - Przedwiośnie - Starodębowa - Azaliowa - Bora-Komorowskiego - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - Skłodowskiej-Curie - REJA|PL. GRUNWALDZKI - pl. Grunwaldzki - Kochanowskiego - Brücknera - Krzywoustego - Bora-Komorowskiego - Przedwiośnie - Starodębowa - Pawłowicka - Widawska - PAWŁOWICE (WIDAWSKA)",3,30,"2021-06-26","2999-01-01"
206,2,"206","","PORT LOTNICZY - Graniczna - Strzegomska - Otyńska - Fabryczna - TAT - Podwale - Kołłątaja - Peronowa - Sucha - DWORZEC AUTOBUSOWY|DWORZEC AUTOBUSOWY - Peronowa - Świdnicka - Podwale - TAT - Fabryczna - Strzegomska - Graniczna - PORT LOTNICZY",3,40,"2021-07-10","2999-01-01"
240,2,"240","","DWORZEC AUTOBUSOWY - Sucha - Swobodna - Świdnicka - Piłsudskiego - Podwale - mosty Mieszczańskie - Dubois - Drobnera - Chrobrego - pl. Powstańców Wielkopolskich - Słowiańska - Jedności Narodowej - Nowowiejska - Piastowska - pl. Grunwaldzki - pl. Powstańców Warszawy - Pułaskiego - Peronowa - Sucha - DWORZEC AUTOBUSOWY",3,40,"2021-06-26","2999-01-01"
241,2,"241","","NOWY DWÓR (PĘTLA) - Rogowska - Gubińska - Strzegomska - Mińska - Stanisławowska - Krzemieniecka - Petuniowa - Hallera - Aleja Pracy - Inżynierska - Krucza - Gajowicka - Szczęśliwa - Zielińskiego - Swobodna - Sucha - Gliniana - Petrusewicza - Borowska - Peronowa - Kołłątaja - Oławska - pl. Powstańców Warszawy - pl. Grunwaldzki - Kochanowskiego - Brücknera - Krzywoustego - Bora-Komorowskiego - Królewska - Przedwiośnie - Starodębowa - Pawłowicka - Widawska - PAWŁOWICE (WIDAWSKA)|PAWŁOWICE (WIDAWSKA) - Pawłowicka - Azaliowa - Okulickiego - Bora-Komorowskiego - Królewska - Bora-Komorowskiego - Krzywoustego - Brücknera - Kochanowskiego - pl. Grunwaldzki - Oławska - Piotra Skargi - Kołłątaja - Peronowa - Ślężna - Gliniana - Petrusewicza - Sucha - Swobodna - Zielińskiego - Gajowicka - Krucza - Inżynierska - Hallera - Ostrowskiego - Krzemieniecka - Stanisławowska - Mińska - Strzegomska - Gubińska - Chociebuska - Rogowska - NOWY DWÓR (PĘTLA)",3,40,"2021-06-26","2999-01-01"
